# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     83      96      -568.177      -568.139      0.000392218      21.9457      22.0262      0.0387077      
     84      96      -568.164      -568.144      0.000213463      21.9375      21.9708      0.0367741      
     85      96      -567.999      -567.996      2.42847e-05      22.3877      22.3544      0.0318371      
     86      96      -568.002      -568.001      1.16905e-05      22.627      22.613      0.0293617      
     87      96      -568.551      -568.541      0.00010297      22.537      22.552      0.0291379      
     88      96      -569.451      -569.439      0.000122887      21.8277      21.8347      0.0286963      
     89      96      -570.057      -570.048      9.09408e-05      21.4889      21.4728      0.027511      
     90      96      -570.375      -570.357      0.000190339      22.257      22.2138      0.0265064      
     91      96      -562.187      -562.182      5.28003e-05      26.5041      26.5849      0.0370521      
     92      96      -570.415      -570.369      0.000480144      22.6759      22.6505      0.0252712      
     93      96      -570.247      -570.216      0.000325774      22.531      22.5226      0.0272773      
     94      96      -569.916      -569.91      6.28866e-05      23.0889      23.0995      0.0287537      
     95      96      -569.598      -569.635      0.000385549      23.4828      23.4874      0.0290472      
     96      96      -569.694      -569.749      0.000569988      22.8495      22.8469      0.0277131      
     97      96      -569.816      -569.869      0.00054869      22.4988      22.4911      0.0274823      
     98      96      -570.037      -570.066      0.000306199      22.2543      22.2495      0.0297797      
     99      96      -561.487      -561.491      4.58725e-05      26.8091      26.8903      0.0370675      
     100      96      -570.223      -570.251      0.000294951      21.3384      21.3654      0.0347551      
     101      96      -570.013      -570.062      0.000514814      21.1256      21.1993      0.0357174      
     102      96      -569.642      -569.709      0.000696124      21.6907      21.7476      0.0347648      
     103      96      -569.23      -569.331      0.00105494      22.303      22.3278      0.0304725      
     104      96      -569.302      -569.414      0.00117092      22.0026      21.9736      0.0271039      
     105      96      -569.343      -569.449      0.00110829      22.0873      22.0511      0.0262292      
     106      96      -569.228      -569.322      0.000984942      22.5608      22.4982      0.0260249      
     107      96      -562.462      -562.463      9.0643e-06      25.153      25.1867      0.0364912      
     108      96      -568.791      -568.848      0.00059008      21.9795      21.9861      0.0268634      
     109      96      -567.966      -567.968      2.8424e-05      22.4187      22.4466      0.0290754      
     110      96      -567.427      -567.379      0.000498756      23.0025      23.0058      0.0312689      
     111      96      -567.014      -566.906      0.0011274      23.7187      23.6924      0.0323673      
     112      96      -567.149      -567.023      0.00131314      23.9761      23.9666      0.0316714      
     113      96      -567.611      -567.51      0.00105804      23.4457      23.4444      0.0312711      
     114      96      -568.465      -568.432      0.000337141      21.9415      21.9537      0.0296136      
     115      96      -568.589      -568.586      2.95527e-05      21.9004      21.9078      0.0310634      
