# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     73      2      -23.6898      -23.6898      4.87534e-07      0.00353372      0.000879069      0.00089121      
     74      2      -23.6901      -23.6903      9.55566e-05      2.89983e-06      0      8.60368e-07      
     75      2      -23.6908      -23.6906      9.21429e-05      0.0024612      0.000613775      0.000437479      
     76      2      -23.6903      -23.6906      0.000150287      3.76436e-06      0      1.53619e-06      
     77      2      -23.6905      -23.6906      2.82921e-05      0.00346835      0.000859033      0.000873838      
     78      2      -23.6892      -23.6879      0.000621745      0.00359323      0.000901011      0.000900861      
     79      2      -23.6907      -23.6907      9.17801e-06      0.0035045      0.000847006      0.000888563      
     80      2      -23.69      -23.69      1.65989e-05      0.00249113      0.000619447      0.000448674      
     81      2      -23.6897      -23.6896      3.98949e-05      0.00354327      0.000874073      0.000900475      
     82      2      -23.6907      -23.6907      5.83946e-06      0.00247878      0.000612376      0.000446534      
     83      2      -23.69      -23.6902      9.51772e-05      0.0034966      0.000875005      0.000874356      
     84      2      -23.6889      -23.6879      0.000486536      0.00441202      0.00111207      0.00134715      
     85      2      -23.6902      -23.6901      3.40075e-05      0.00345602      0.000868018      0.000867163      
     86      2      -23.6909      -23.6908      4.66896e-05      0.0024403      0.000608113      0.000434042      
     87      2      -23.6905      -23.6906      6.5053e-05      0.00483225      0.00121767      0.000866208      
     88      2      -23.6904      -23.6907      0.000118005      0.00243495      0.000602477      0.000438346      
     89      2      -23.6897      -23.6903      0.000278021      0.00427046      0.0010435      0.00131688      
     90      2      -23.6904      -23.6907      0.000168483      0.00247883      0.000601074      0.00044961      
     91      2      -23.69      -23.6901      5.55779e-05      0.00357361      0.000873023      0.000904678      
     92      2      -23.6895      -23.6884      0.000535596      0.00250835      0.00063218      0.00044786      
     93      2      -23.6894      -23.6887      0.000383364      0.00435369      0.00109247      0.00133112      
     94      2      -23.6904      -23.6905      7.23965e-05      0.00347695      0.000861015      0.000871979      
     95      2      -23.6897      -23.6897      1.37637e-06      0.00244606      0.000625129      0.000437668      
     96      2      -23.6903      -23.6906      0.000165139      2.96691e-06      0      9.34918e-07      
     97      2      -23.6894      -23.6888      0.000304346      0.00253214      0.000625114      0.000457051      
     98      2      -23.6891      -23.6893      0.000104405      0.00345682      0.00082906      0.0008852      
     99      2      -23.6879      -23.6874      0.000272403      0.0044465      0.00112024      0.00135788      
     100      2      -23.6907      -23.6907      3.07045e-05      0.00249184      0.00061094      0.000443531      
     101      2      -23.6888      -23.6894      0.000282153      0.00241994      0.000588355      0.000442329      
     102      2      -23.6906      -23.69      0.000267559      0.00352406      0.000881006      0.000881814      
     103      2      -23.6897      -23.69      0.000153867      0.00348269      0.00084502      0.000884655      
     104      2      -23.6906      -23.6908      8.05857e-05      0.00244837      0.000599642      0.000440895      
     105      2      -23.6903      -23.6898      0.00023696      0.00351306      0.000880022      0.000878939      
     106      2      -23.6902      -23.6906      0.000189465      0.00348568      0.000856001      0.000877467      
     107      2      -23.6905      -23.6906      7.41054e-05      0.00347076      0.000839002      0.000878319      
     108      2      -23.6896      -23.6888      0.000404763      0.00358255      0.000891019      0.000902633      
     109      2      -23.6907      -23.69      0.000353232      0.00250655      0.000619429      0.000446449      
     110      2      -23.6888      -23.6877      0.00053318      0.00429737      0.00108759      0.0013103      
     111      2      -23.6912      -23.691      7.06678e-05      0.00350033      0.000854004      0.000884314      
     112      2      -23.6899      -23.689      0.000414249      2.59703e-06      0      1.01957e-06      
     113      2      -23.6899      -23.69      6.10419e-06      2.8732e-06      0      1.11671e-06      
     114      2      -23.6902      -23.6906      0.000181849      0.00348242      0.000858001      0.000876215      
     115      2      -23.6902      -23.6906      0.000176628      0.0035443      0.000868007      0.000893876      
     116      2      -23.6898      -23.6902      0.000203948      0.00249904      0.000592589      0.000456242      
     117      2      -23.6901      -23.6905      0.000176165      0.00352419      0.000850029      0.000897159      
     118      2      -23.6909      -23.6905      0.000228888      0.00353767      0.00087401      0.000890983      
     119      2      -23.6895      -23.6896      3.35811e-05      0.00339743      0.000832019      0.000860192      
     120      2      -23.6884      -23.6874      0.00048891      0.00431853      0.00109578      0.00131569      
     121      2      -23.6898      -23.6896      0.000133377      0.00243576      0.000626524      0.000432285      
     122      2      -23.69      -23.6904      0.000208231      1.56938e-06      0      6.36014e-07      
     123      2      -23.6901      -23.6906      0.000213712      0.00246423      0.000598227      0.00044595      
