# aa.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     74      216      -1045.81      -1045.92      0.00048785      0.10578      0.0871126      0.00201749      
     75      216      -1045.81      -1045.92      0.00048783      0.0895477      0.0512278      0.00177963      
     76      216      -1045.81      -1045.92      0.000487738      0.09007      0.051086      0.00161458      
     77      216      -1045.81      -1045.92      0.000487491      0.0786665      0.0394679      0.00163243      
     78      216      -1045.81      -1045.92      0.000486708      0.0655038      0.0510201      0.00200991      
     79      216      -1045.81      -1045.92      0.000486734      0.0648758      0.0361212      0.00190281      
     80      216      -1045.81      -1045.92      0.00048674      0.0718421      0.029454      0.00179768      
     81      216      -1045.81      -1045.92      0.000486739      0.0666901      0.0178747      0.0017978      
     82      216      -1045.81      -1045.92      0.000486719      0.0631186      0.0138527      0.0017274      
# s_aIn.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     83      64      -304.106      -304.118      0.000189089      2.00571      2.30548      0.0263796      
     84      64      -304.333      -304.334      1.55815e-05      0.240697      0.245324      0.00614493      
     85      64      -304.338      -304.336      2.5917e-05      0.251471      0.297291      0.0069034      
     86      64      -304.344      -304.341      4.04281e-05      0.181922      0.188965      0.0049861      
     87      64      -304.345      -304.342      5.74829e-05      0.209855      0.239007      0.00510957      
     88      64      -304.35      -304.345      6.88526e-05      0.147      0.15807      0.00375559      
     89      64      -304.351      -304.346      8.21074e-05      0.175604      0.209535      0.00399707      
     90      64      -304.354      -304.349      8.55174e-05      0.0969327      0.116727      0.00302851      
     91      64      -304.354      -304.349      8.65835e-05      0.100768      0.125788      0.0031791      
     92      64      -304.355      -304.35      8.6633e-05      0.0735601      0.0865651      0.00249495      
     93      64      -304.355      -304.35      8.71687e-05      0.0814542      0.0983955      0.00257136      
     94      64      -304.243      -304.269      0.000401101      0.70914      0.773918      0.0121939      
     95      64      -304.356      -304.35      8.92895e-05      0.0557853      0.0554881      0.00193884      
     96      64      -304.356      -304.35      8.95786e-05      0.0576922      0.0581791      0.00192814      
     97      64      -304.356      -304.35      9.237e-05      0.0466141      0.0474643      0.0018473      
     98      64      -304.356      -304.35      9.29271e-05      0.0496077      0.0539228      0.00191672      
     99      64      -304.356      -304.35      9.43018e-05      0.0425951      0.0414961      0.00168497      
     100      64      -304.356      -304.35      9.74561e-05      0.0565435      0.0657359      0.00181261      
     101      64      -304.356      -304.35      9.8102e-05      0.0442201      0.0426845      0.00153652      
     102      64      -304.357      -304.35      9.9525e-05      0.0446005      0.037593      0.00135788      
     103      64      -304.357      -304.35      0.000100077      0.0372982      0.026645      0.00131091      
     104      64      -304.357      -304.35      0.000101283      0.0384954      0.0398301      0.00156533      
     105      64      -304.256      -304.279      0.000348741      0.569294      0.627461      0.0122312      
     106      64      -304.357      -304.35      0.000101658      0.0353805      0.0340736      0.00153024      
     107      64      -304.357      -304.35      0.000102831      0.0386597      0.0364923      0.00161322      
     108      64      -304.357      -304.35      0.000102987      0.0332912      0.0206073      0.0014712      
     109      64      -304.357      -304.35      0.000103239      0.0356403      0.0226296      0.00141545      
     110      64      -304.272      -304.293      0.000335652      0.451128      0.459166      0.0105062      
     111      64      -304.287      -304.302      0.000241759      0.460843      0.527147      0.012339      
     112      64      -304.3      -304.313      0.000210056      0.351787      0.35103      0.0094394      
     113      64      -304.309      -304.317      0.000115624      0.335127      0.386799      0.00964581      
     114      64      -304.318      -304.324      9.19262e-05      0.26747      0.270358      0.00744284      
     115      64      -304.324      -304.326      3.3707e-05      0.321278      0.366112      0.00758564      
     116      64      -304.23      -304.215      0.000232029      1.61657      1.90853      0.0205      
     117      64      -304.353      -304.347      0.000101423      0.115038      0.126796      0.00284644      
     118      64      -304.353      -304.347      0.000102849      0.120105      0.140788      0.00306189      
     119      64      -304.355      -304.348      0.000100488      0.0883182      0.0836402      0.00214038      
     120      64      -304.355      -304.348      0.000101617      0.102066      0.108873      0.00222596      
     121      64      -304.356      -304.349      0.000102721      0.0702877      0.0735291      0.00187136      
     122      64      -304.356      -304.35      0.000104211      0.0790772      0.0940111      0.00215402      
     123      64      -304.357      -304.35      0.000103975      0.040774      0.0354471      0.00170552      
     124      64      -304.357      -304.35      0.00010415      0.0415447      0.0387779      0.00173553      
     125      64      -304.357      -304.35      0.000104383      0.0303887      0.0270932      0.00151124      
     126      64      -304.357      -304.35      0.000104265      0.0292172      0.0214692      0.00150978      
     127      64      -304.321      -304.318      5.19941e-05      0.520299      0.566243      0.00767859      
     128      64      -304.328      -304.323      7.79692e-05      0.381778      0.448129      0.0084289      
     129      64      -304.335      -304.331      6.90096e-05      0.255365      0.27954      0.00609626      
     130      64      -304.339      -304.334      7.69581e-05      0.244183      0.266765      0.00531871      
     131      64      -304.342      -304.337      7.81691e-05      0.191671      0.192481      0.00429948      
     132      64      -304.345      -304.339      9.35541e-05      0.202372      0.241872      0.00488416      
     133      64      -304.348      -304.342      9.38226e-05      0.153319      0.171663      0.0038129      
     134      64      -304.351      -304.344      0.000102988      0.167688      0.201878      0.00385354      
     135      64      -304.27      -304.264      9.55019e-05      1.19707      1.3961      0.0144884      
     136      64      -304.351      -304.349      3.51457e-05      0.0884259      0.0993248      0.00249855      
     137      64      -304.352      -304.349      5.05934e-05      0.109788      0.143808      0.00332814      
     138      64      -304.353      -304.349      5.83666e-05      0.080696      0.0961462      0.0025004      
     139      64      -304.354      -304.349      7.17962e-05      0.0799112      0.0925278      0.00212622      
     140      64      -304.355      -304.35      7.5413e-05      0.0607743      0.0633886      0.00187873      
     141      64      -304.355      -304.35      8.11591e-05      0.0749295      0.0861432      0.00221455      
     142      64      -304.355      -304.35      8.09423e-05      0.0568151      0.0654298      0.00193212      
     143      64      -304.355      -304.35      8.07304e-05      0.0515823      0.0550613      0.0018425      
     144      64      -304.355      -304.35      8.10746e-05      0.043851      0.0456188      0.00170854      
     145      64      -304.356      -304.35      8.39224e-05      0.0611561      0.0835433      0.00227295      
     146      64      -304.325      -304.326      2.86731e-05      0.52004      0.578792      0.0072956      
     147      64      -304.356      -304.35      8.43378e-05      0.0552751      0.0724799      0.00207904      
     148      64      -304.356      -304.35      8.60993e-05      0.0484484      0.0504962      0.00158823      
     149      64      -304.356      -304.35      8.62633e-05      0.0437406      0.0412007      0.0015117      
     150      64      -304.356      -304.35      8.71769e-05      0.043078      0.0366293      0.00146869      
     151      64      -304.356      -304.35      8.78644e-05      0.038748      0.028172      0.00139729      
     152      64      -304.356      -304.35      9.02454e-05      0.0460349      0.0468995      0.00161915      
     153      64      -304.356      -304.35      9.09105e-05      0.0438723      0.0439501      0.00161382      
     154      64      -304.356      -304.35      9.27381e-05      0.0394253      0.0354434      0.00146813      
     155      64      -304.356      -304.35      9.27984e-05      0.0359761      0.0281966      0.0014234      
     156      64      -304.356      -304.35      9.30304e-05      0.0393899      0.0322802      0.00141233      
     157      64      -304.334      -304.335      2.2956e-05      0.370371      0.450703      0.00733304      
     158      64      -304.341      -304.343      3.0125e-05      0.219564      0.269858      0.00492363      
     159      64      -304.344      -304.345      1.93614e-05      0.195599      0.257978      0.00507753      
     160      64      -304.346      -304.347      1.57518e-05      0.133924      0.164892      0.00364259      
     161      64      -304.348      -304.347      2.61106e-06      0.141831      0.180355      0.00359442      
     162      64      -304.349      -304.349      1.08772e-05      0.0993422      0.11292      0.00269543      
     163      64      -304.35      -304.348      2.54112e-05      0.116275      0.13503      0.00285921      
     164      64      -304.179      -304.201      0.000347215      1.55467      1.81914      0.0202273      
     165      64      -304.334      -304.35      0.000258698      0.187362      0.178129      0.00536871      
     166      64      -304.338      -304.349      0.000172515      0.213923      0.255788      0.00615611      
     167      64      -304.342      -304.35      0.00011585      0.155747      0.168532      0.00466867      
     168      64      -304.346      -304.348      3.38145e-05      0.155994      0.181068      0.00410897      
     169      64      -304.349      -304.349      3.71484e-06      0.105855      0.120987      0.00338009      
     170      64      -304.35      -304.348      2.90381e-05      0.142618      0.18695      0.00425428      
     171      64      -304.352      -304.349      4.56077e-05      0.11391      0.144207      0.00343978      
     172      64      -304.354      -304.349      7.66243e-05      0.113365      0.145907      0.00333881      
     173      64      -304.355      -304.35      7.8001e-05      0.0692572      0.0886091      0.00244764      
     174      64      -304.355      -304.35      8.21674e-05      0.0909304      0.119454      0.00265058      
     175      64      -304.267      -304.304      0.000572362      0.649531      0.750382      0.0101259      
     176      64      -304.356      -304.35      8.51656e-05      0.0558346      0.0588052      0.00181976      
     177      64      -304.356      -304.35      8.68867e-05      0.0612511      0.0656484      0.00184501      
     178      64      -304.356      -304.35      9.00694e-05      0.0508442      0.0462802      0.00175096      
     179      64      -304.356      -304.35      9.15846e-05      0.0575565      0.0583341      0.00187578      
     180      64      -304.356      -304.35      9.41975e-05      0.0419159      0.0394091      0.00175667      
     181      64      -304.356      -304.35      9.73743e-05      0.0452168      0.0559788      0.00187353      
     182      64      -304.357      -304.35      9.87081e-05      0.0371402      0.0332032      0.00147253      
     183      64      -304.357      -304.35      9.95913e-05      0.0429021      0.0404577      0.00144473      
     184      64      -304.357      -304.35      0.000100379      0.0347893      0.0247311      0.00136229      
     185      64      -304.357      -304.35      0.000101239      0.0393265      0.0360001      0.00147568      
     186      64      -304.279      -304.315      0.000568216      0.556335      0.679391      0.0118137      
     187      64      -304.357      -304.35      0.000102116      0.0319073      0.0241997      0.00148045      
     188      64      -304.357      -304.35      0.000102167      0.032061      0.0246999      0.00149328      
     189      64      -304.295      -304.333      0.000590985      0.385513      0.435453      0.00857721      
     190      64      -304.304      -304.34      0.000562148      0.400647      0.442664      0.00871116      
     191      64      -304.313      -304.347      0.000522041      0.287633      0.266557      0.00641243      
     192      64      -304.319      -304.347      0.000438979      0.276233      0.284578      0.0068079      
     193      64      -304.324      -304.349      0.000388384      0.212143      0.189425      0.00589552      
     194      64      -304.328      -304.348      0.000316627      0.234416      0.249617      0.00642282      
     195      64      -304.306      -304.295      0.000161522      1.03007      1.15913      0.0110428      
     196      64      -304.345      -304.339      9.73294e-05      0.453375      0.481198      0.00498045      
     197      64      -304.353      -304.346      0.000105555      0.250386      0.292697      0.00480095      
     198      64      -304.356      -304.349      0.000102981      0.112394      0.125116      0.00284258      
     199      64      -304.357      -304.35      0.000106055      0.0746869      0.100434      0.00290639      
     200      64      -304.357      -304.35      0.000105276      0.0411273      0.0472713      0.00194423      
     201      64      -304.357      -304.35      0.00010536      0.0385027      0.0424124      0.00161643      
     202      64      -304.357      -304.35      0.000104791      0.0318696      0.0243292      0.00143635      
     203      64      -304.357      -304.35      0.000104421      0.0338092      0.021057      0.00133898      
# s_aa.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     204      64      -306.884      -306.877      0.00012119      1.39646      1.55074      0.028485      
     205      64      -306.961      -306.964      4.73638e-05      0.199309      0.0831393      0.011979      
     206      64      -306.961      -306.964      5.30639e-05      0.187179      0.0475185      0.0114824      
     207      64      -306.961      -306.964      5.566e-05      0.18488      0.0588568      0.0111919      
     208      64      -306.961      -306.965      5.8798e-05      0.169556      0.0356977      0.0103624      
     209      64      -306.961      -306.965      6.05719e-05      0.165444      0.0433633      0.0100157      
     210      64      -306.961      -306.965      6.14243e-05      0.161152      0.0261227      0.00995565      
     211      64      -306.961      -306.965      6.14749e-05      0.160969      0.0312305      0.00992494      
     212      64      -306.961      -306.965      6.32536e-05      0.161039      0.0183733      0.00984908      
     213      64      -306.961      -306.965      6.38404e-05      0.16175      0.0233807      0.00984512      
     214      64      -306.947      -306.949      3.67886e-05      0.442833      0.496451      0.0136387      
     215      64      -306.952      -306.955      3.73993e-05      0.289273      0.336079      0.0130934      
     216      64      -306.955      -306.959      5.27045e-05      0.234499      0.191359      0.0103444      
     217      64      -306.957      -306.96      4.90401e-05      0.233667      0.18243      0.0101712      
     218      64      -306.958      -306.961      4.57687e-05      0.193778      0.131481      0.00968676      
     219      64      -306.96      -306.962      2.91641e-05      0.194521      0.19163      0.0125939      
     220      64      -306.96      -306.962      3.48851e-05      0.177979      0.149014      0.011518      
     221      64      -306.961      -306.963      4.36438e-05      0.180715      0.0768463      0.0116914      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     222      4      -19.3396      -19.3395      3.24797e-05      0.0473816      0.004696      0.00868592      
     223      4      -18.9925      -18.9922      9.0902e-05      0.0249164      0.015096      0.00669144      
     224      4      -18.7614      -18.7598      0.000397224      0.021789      0.026416      0.000805359      
     225      4      -18.4957      -18.4941      0.000407201      0.0724081      0.036914      0.00597735      
     226      4      -18.2018      -18.2022      0.000106253      0.13682      0.055734      0.0135485      
     227      4      -17.8893      -17.889      7.77427e-05      0.147079      0.063452      0.0139577      
     228      4      -17.5572      -17.5573      3.39227e-05      0.146243      0.080334      0.0110311      
     229      4      -17.2143      -17.2153      0.000262076      0.0897227      0.087346      0.000489663      
     230      4      -16.8536      -16.8535      1.47802e-05      0.0453749      0.104282      0.0250006      
     231      4      -19.3037      -19.3066      0.000710804      0.0648538      0.007376      0.0120638      
     232      4      -19.1782      -19.1801      0.000463161      0.0543776      0.009042      0.0105934      
     233      4      -17.8375      -17.8377      4.62243e-05      0.03726      0.00984      0.00785646      
     234      4      -19.3035      -19.3016      0.000469727      0.0210878      0.004756      0.00430784      
     235      4      -19.2078      -19.2078      8.31966e-07      0.0143197      0.000514      0.00234264      
     236      4      -19.0284      -19.0262      0.000550403      0.0300025      0.00049      0.00493226      
     237      4      -18.6838      -18.6839      2.45256e-05      0.0404254      0.005468      0.00765746      
     238      8      -24.9054      -24.9073      0.000246537      4.13053e-13      0      6.20069e-14      
     239      8      -25.3295      -25.3311      0.00020793      4.64307e-13      0      7.3334e-14      
     240      8      -34.1136      -34.1135      1.56486e-05      1.47272e-13      0      2.30614e-14      
     241      8      -25.7443      -25.7457      0.00016503      3.61679e-13      0      6.17917e-14      
     242      8      -26.1502      -26.151      0.000109106      3.76736e-13      0      5.65147e-14      
     243      8      -26.547      -26.5475      5.67561e-05      3.95517e-13      0      6.739e-14      
     244      8      -26.9351      -26.9351      7.46691e-06      5.32362e-13      0      6.98349e-14      
     245      8      -27.3144      -27.3141      4.27618e-05      4.34338e-13      0      7.14517e-14      
     246      8      -27.6852      -27.6845      9.27395e-05      4.47828e-13      0      7.93913e-14      
     247      8      -28.0475      -28.0464      0.000137473      3.19417e-13      0      4.86167e-14      
     248      8      -28.4016      -28.4002      0.000176126      2.77163e-13      0      4.05008e-14      
     249      8      -28.7474      -28.7457      0.00020954      2.92527e-13      0      4.39105e-14      
     250      8      -29.0852      -29.0833      0.00023573      3.83901e-13      0      6.09942e-14      
     251      8      -35.6013      -35.6042      0.00036223      1.76433e-13      0      2.88085e-14      
     252      8      -29.415      -29.4129      0.000253116      5.62667e-13      0      8.12688e-14      
     253      8      -29.737      -29.7348      0.000267352      2.77119e-13      0      4.36751e-14      
     254      8      -30.0512      -30.049      0.00027531      3.76062e-13      0      6.28516e-14      
     255      8      -30.3579      -30.3557      0.000273555      2.53541e-13      0      4.22727e-14      
     256      8      -30.6572      -30.655      0.000263548      3.00761e-13      0      4.77244e-14      
     257      8      -30.949      -30.947      0.000248306      3.1734e-13      0      5.09176e-14      
     258      8      -31.2337      -31.2319      0.000228628      2.54722e-13      0      3.68508e-14      
     259      8      -31.5112      -31.5096      0.000201695      2.20973e-13      0      3.53387e-14      
     260      8      -31.7818      -31.7804      0.000169059      3.64069e-13      0      5.72455e-14      
     261      8      -32.0455      -32.0445      0.000124052      3.74609e-13      0      5.48048e-14      
     262      8      -36.5777      -36.5788      0.000136617      7.78113e-14      0      1.2258e-14      
     263      8      -32.3024      -32.3018      7.32345e-05      4.0914e-13      0      5.7213e-14      
     264      8      -32.5527      -32.5524      3.22532e-05      3.05186e-13      0      4.8691e-14      
     265      8      -32.7964      -32.7965      8.4296e-06      2.05284e-13      0      3.47534e-14      
     266      8      -33.0337      -33.0341      5.2541e-05      2.77468e-13      0      4.58947e-14      
     267      8      -33.2647      -33.2655      9.3676e-05      1.01235e-12      0      1.90742e-13      
     268      8      -33.4895      -33.4906      0.000134849      2.51881e-13      0      4.17829e-14      
     269      8      -33.7082      -33.7096      0.000175023      2.26766e-13      0      3.84807e-14      
     270      8      -33.9209      -33.9225      0.000206512      2.13656e-13      0      3.46735e-14      
     271      8      -34.1277      -34.1296      0.000239476      2.4932e-13      0      4.42852e-14      
     272      8      -34.3287      -34.3308      0.000264459      1.70012e-13      0      2.65087e-14      
     273      8      -37.1297      -37.1261      0.000448928      6.15236e-14      0      9.99555e-15      
     274      8      -34.524      -34.5263      0.00028536      3.80901e-13      0      5.65296e-14      
     275      8      -34.7137      -34.7161      0.000298229      1.43615e-13      0      2.48966e-14      
     276      8      -34.8979      -34.9004      0.000306114      2.42235e-13      0      3.65127e-14      
     277      8      -35.0767      -35.0792      0.000308297      2.72434e-13      0      4.16467e-14      
     278      8      -35.2502      -35.2527      0.000304991      2.44958e-13      0      4.07539e-14      
     279      8      -35.4185      -35.4208      0.000294466      2.1412e-13      0      3.4302e-14      
     280      8      -35.5816      -35.5838      0.000272303      2.20377e-13      0      3.59467e-14      
     281      8      -35.7396      -35.7417      0.000251502      1.55407e-13      0      2.50427e-14      
     282      8      -35.8927      -35.8945      0.000228647      2.19927e-13      0      3.4061e-14      
     283      8      -36.0409      -36.0425      0.000198078      1.88451e-13      0      3.06452e-14      
     284      8      -37.3248      -37.3226      0.000266942      1.05282e-13      0      1.65899e-14      
     285      8      -36.1842      -36.1856      0.000165162      2.11274e-13      0      3.40037e-14      
     286      8      -36.3229      -36.3239      0.000129886      1.24305e-13      0      2.09104e-14      
     287      8      -36.4568      -36.4575      9.05098e-05      1.87511e-13      0      2.86631e-14      
     288      8      -36.5861      -36.5866      5.18347e-05      1.4957e-13      0      2.52301e-14      
     289      8      -36.711      -36.711      8.99525e-06      2.55841e-13      0      3.791e-14      
     290      8      -36.8313      -36.8311      2.93441e-05      2.47416e-13      0      3.83335e-14      
     291      8      -36.9473      -36.9467      7.04755e-05      1.61052e-13      0      2.76974e-14      
     292      8      -37.0589      -37.058      0.000109207      1.60632e-13      0      2.53761e-14      
     293      8      -37.1663      -37.1651      0.000142991      2.55881e-13      0      3.82883e-14      
     294      8      -37.2695      -37.268      0.000177934      1.97505e-13      0      3.39322e-14      
     295      8      -37.2323      -37.2364      0.000517043      6.11279e-14      0      9.08523e-15      
     296      8      -37.3685      -37.3668      0.000212256      2.01802e-13      0      2.94233e-14      
     297      8      -37.4635      -37.4616      0.000234972      1.5055e-13      0      2.65036e-14      
     298      8      -37.5544      -37.5524      0.000253174      1.52729e-13      0      2.48457e-14      
     299      8      -37.6414      -37.6393      0.000265382      1.37808e-13      0      2.18387e-14      
     300      8      -37.7245      -37.7223      0.000270889      2.43076e-13      0      3.27162e-14      
     301      8      -37.8038      -37.8016      0.000271583      1.75192e-13      0      2.68227e-14      
     302      8      -37.8792      -37.8775      0.000222343      1.37146e-13      0      2.08049e-14      
     303      8      -37.951      -37.9493      0.000207564      1.26127e-13      0      1.92939e-14      
     304      8      -38.0191      -38.0177      0.000184049      1.1321e-13      0      1.78367e-14      
     305      8      -38.0837      -38.0824      0.000152553      1.28066e-13      0      2.22982e-14      
     306      8      -36.9207      -36.923      0.000288224      4.25419e-14      0      6.43929e-15      
     307      8      -38.1447      -38.1437      0.000116548      1.48642e-13      0      2.27667e-14      
     308      8      -38.2022      -38.2016      7.323e-05      1.44131e-13      0      2.12425e-14      
     309      8      -38.2563      -38.2561      2.50674e-05      1.69162e-13      0      2.54788e-14      
     310      8      -38.3072      -38.3074      2.58792e-05      1.70055e-13      0      2.79584e-14      
     311      8      -38.3547      -38.3553      7.95969e-05      1.08841e-13      0      1.50503e-14      
     312      8      -38.399      -38.4001      0.000137579      2.52095e-13      0      3.77551e-14      
     313      8      -38.4403      -38.4418      0.000191272      1.75385e-13      0      2.70849e-14      
     314      8      -38.4784      -38.4804      0.000249675      1.34713e-13      0      2.03014e-14      
     315      8      -38.5135      -38.516      0.000300799      1.68163e-13      0      2.67206e-14      
     316      8      -38.5458      -38.5486      0.000348163      1.28849e-13      0      1.95898e-14      
     317      8      -36.4279      -36.4258      0.000261133      8.46799e-14      0      1.29538e-14      
     318      8      -38.5751      -38.5782      0.00038657      1.45313e-13      0      2.11513e-14      
     319      8      -38.6017      -38.6051      0.000423807      1.21652e-13      0      2.11782e-14      
     320      8      -38.6255      -38.6291      0.000450561      1.12428e-13      0      1.82372e-14      
     321      8      -38.6467      -38.6504      0.00046497      9.96874e-14      0      1.57275e-14      
     322      8      -38.6652      -38.669      0.000472435      1.40809e-13      0      2.08182e-14      
     323      8      -38.6811      -38.6849      0.000472719      1.0115e-13      0      1.73547e-14      
     324      8      -38.6946      -38.6983      0.000462263      1.5425e-13      0      2.32365e-14      
     325      8      -38.7055      -38.709      0.000440682      1.59734e-13      0      2.42727e-14      
     326      8      -38.714      -38.7174      0.000416076      1.9703e-13      0      3.34482e-14      
     327      8      -38.7201      -38.7232      0.000379956      1.75622e-13      0      2.66851e-14      
     328      8      -35.7856      -35.7828      0.000355396      3.54532e-14      0      6.13413e-15      
     329      8      -38.7239      -38.7266      0.000345179      1.23796e-13      0      1.82565e-14      
     330      8      -38.7252      -38.7277      0.000304351      9.50938e-14      0      1.42181e-14      
     331      8      -38.7243      -38.7264      0.000261349      8.30999e-14      0      1.2478e-14      
     332      8      -38.7211      -38.7228      0.000219226      1.02857e-13      0      1.46712e-14      
