# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     79      48      -99950.9      -99951      0.00402221      7.72345      7.71101      0.00262064      
     80      48      -99988.6      -99988.6      0.00086941      0.173749      0.178855      0.0015964      
     81      48      -99970.3      -99970.2      0.00226593      2.94355      2.96199      0.00772055      
     82      48      -99953.8      -99954      0.0039784      6.60239      6.59717      0.00649362      
     83      48      -99932.3      -99931.9      0.00801403      13.6099      13.5346      0.0193291      
     84      48      -99969.8      -99969.7      0.00190437      3.46444      3.55289      0.00786843      
     85      48      -99978.8      -99978.8      0.00161348      1.4104      1.24368      0.0128495      
     86      48      -99931.5      -99931.4      0.00264377      11.3283      11.1652      0.0136591      
     87      48      -99960.3      -99960.1      0.00398507      4.86956      5.00637      0.00800373      
     88      48      -99983.8      -99983.8      9.17269e-05      1.08239      1.14311      0.00927218      
     89      48      -99961.4      -99961.6      0.00296381      4.1732      4.07545      0.0103807      
     90      48      -99967.2      -99967.4      0.00244732      3.81371      3.83303      0.00290283      
     91      48      -99944.5      -99944.8      0.00610062      8.03998      7.92928      0.00931019      
     92      48      -99969.7      -99969.6      0.00158041      3.04724      3.15672      0.0124036      
     93      48      -99989.1      -99989.1      0.00090886      0.117861      0.120687      0.000864407      
     94      48      -99917.7      -99917.6      0.0012893      16.5002      16.635      0.00791793      
     95      48      -99981.4      -99981.5      0.00180061      1.13621      0.970304      0.00916955      
     96      48      -99966      -99965.8      0.00412891      4.63103      4.78557      0.00936218      
     97      48      -99954      -99954.3      0.00533824      6.01267      5.8145      0.0119089      
     98      48      -99964.7      -99964.5      0.00258792      4.1053      4.17458      0.00590157      
     99      48      -99927.9      -99927.6      0.00713461      8.41661      8.50178      0.013114      
     100      48      -99955.7      -99955.6      0.00174914      3.88614      3.95648      0.0130777      
     101      48      -99809.9      -99809.9      0.00125559      27.936      27.8576      0.0160618      
     102      48      -99940      -99940.5      0.0104658      6.66314      6.65135      0.0207989      
     103      48      -99911.4      -99911.6      0.00381877      19.5453      19.7894      0.0207785      
     104      48      -99896.5      -99896.5      0.000220936      9.04123      9.28468      0.0161551      
     105      48      -99917.2      -99916.8      0.00846525      16.2414      16.3363      0.0152538      
     106      48      -99781.7      -99782.2      0.00887397      24.7263      24.7623      0.0128605      
     107      48      -99921.5      -99921.8      0.00537711      25.081      25.1963      0.0113716      
     108      48      -99923.2      -99923.1      0.00230219      11.8346      12.0287      0.0201813      
     109      48      -99887.4      -99887.2      0.00520837      24.4087      24.3047      0.0105633      
     110      48      -99932.2      -99932.2      0.000568215      3.80063      3.86458      0.00755997      
     111      48      -99923.6      -99924.1      0.0113098      9.24504      9.06194      0.0111847      
     112      48      -99948.4      -99948.6      0.00246443      4.94921      4.92759      0.00336618      
     113      48      -99870.7      -99870.9      0.00362549      18.6634      18.9125      0.0223889      
     114      48      -99840.8      -99840.7      0.00202861      19.4145      19.3363      0.0168437      
     115      48      -99934.2      -99934.4      0.00315435      17.9034      17.8768      0.00894925      
     116      48      -99932.2      -99931.9      0.00577624      9.01996      9.1891      0.0169504      
     117      48      -99930      -99930      0.000616729      8.96603      8.96488      0.0042575      
     118      48      -99950.1      -99950      0.00126746      10.8326      10.8609      0.0195254      
     119      48      -99910.4      -99910.3      0.00188067      28.4279      28.3244      0.00921214      
     120      48      -99895.9      -99896.1      0.00465934      30.6907      30.5889      0.00940882      
     121      48      -99922.6      -99922.6      6.16089e-05      15.5848      15.5299      0.00610038      
     122      48      -99768.4      -99768.5      0.00177835      29.816      29.8251      0.00186622      
     123      48      -99939.5      -99939.7      0.0036019      15.3078      15.4368      0.0122989      
     124      48      -99848.5      -99848.7      0.00410032      19.3643      19.3466      0.0120911      
     125      48      -99797.4      -99797.3      0.00265509      18.4966      18.4804      0.0104813      
     126      48      -99936      -99936.4      0.00809222      2.31595      2.51204      0.0168403      
     127      48      -99825.9      -99825.5      0.00764938      21.8896      21.9078      0.00766324      
     128      48      -99956      -99956.5      0.00943648      7.57818      7.48635      0.0074915      
     129      48      -99933.6      -99933.1      0.0101949      10.0227      9.88754      0.0206156      
     130      48      -99831      -99831      0.000483073      33.1501      33.1216      0.0129271      
     131      48      -99947.9      -99948      0.00315957      9.67822      9.6994      0.00490355      
     132      48      -99944.5      -99944.5      0.000127678      6.71      6.77458      0.00525667      
     133      48      -99911.8      -99911.1      0.0151067      16.9144      16.9218      0.0224065      
     134      48      -99844.2      -99843.7      0.00897375      16.2284      16.3002      0.00749575      
     135      48      -99925      -99925.4      0.00660818      22.3668      22.2819      0.0110563      
     136      48      -99825.9      -99825.5      0.00764929      21.8896      21.9081      0.00766499      
     137      48      -99831      -99830.9      0.00276169      43.4043      43.4137      0.00797163      
     138      48      -99900.2      -99900.1      0.00262024      18.4991      18.3308      0.0159955      
     139      48      -99926.2      -99926.1      0.00118887      10.7774      10.6859      0.00829453      
     140      48      -99787      -99787.1      0.0018991      28.5008      28.4203      0.00884933      
     141      48      -99916.7      -99916.8      0.00161991      19.6802      19.8496      0.0158637      
     142      48      -99813.1      -99812.8      0.00493535      14.862      14.901      0.00361075      
     143      48      -99893.5      -99893.6      0.00175883      9.73541      9.73806      0.0200789      
     144      48      -99941.2      -99941.6      0.00869882      15.0835      15.0736      0.00823124      
     145      48      -99903.1      -99903.1      0.000822606      24.4322      24.7034      0.0169311      
     146      48      -99872.3      -99872.4      0.000961404      7.87253      7.9387      0.00721172      
     147      48      -99951.9      -99952.1      0.00359379      9.7271      9.60714      0.00871267      
     148      48      -99887.5      -99887.7      0.00343869      10.1276      10.0455      0.0062496      
     149      48      -99950      -99949.7      0.00628872      6.99365      7.18691      0.0172191      
